0 11 -nan(ind) -nan(ind) 21 -nan(ind) -nan(ind) 12 -nan(ind) -nan(ind) 22 -nan(ind) -nan(ind) 13 -nan(ind) -nan(ind) 23 -nan(ind) -nan(ind) 
9100 11 1.255313 0.216653 21 1.084051 0.180014 12 4.743516 1.019341 22 4.880659 1.038571 13 2.916429 0.686209 23 2.893297 0.671099 
9200 11 1.268020 0.220775 21 1.098005 0.180449 12 4.846250 1.012989 22 4.773859 1.021685 13 2.878207 0.690489 23 2.910000 0.656033 
9300 11 1.256241 0.217948 21 1.093402 0.186688 12 4.880269 1.035430 22 4.777903 1.017849 13 2.867366 0.682473 23 2.963495 0.670215 
9400 11 1.258885 0.218001 21 1.099059 0.182090 12 4.872766 1.038670 22 4.809894 1.021702 13 2.919096 0.691543 23 2.907181 0.657021 
9500 11 1.259847 0.219174 21 1.092835 0.183695 12 4.757579 1.007474 22 4.884947 1.028158 13 2.932474 0.688737 23 2.867737 0.646526 
9600 11 1.248965 0.217363 21 1.102317 0.176705 12 4.757865 1.001823 22 4.837135 1.014896 13 2.963281 0.683177 23 2.903646 0.668177 
9700 11 1.260222 0.220086 21 1.090739 0.182260 12 4.877629 1.023608 22 4.775309 1.010722 13 2.920309 0.687680 23 2.960619 0.664227 
9800 11 1.258854 0.217832 21 1.098930 0.180765 12 4.841378 1.018112 22 4.835459 1.012143 13 2.882092 0.677347 23 2.921020 0.657908 
9900 11 1.257498 0.218607 21 1.089196 0.177868 12 4.860606 1.034848 22 4.823838 1.016869 13 2.890051 0.695101 23 2.951111 0.670253 
10000 11 1.261079 0.214079 21 1.092674 0.184475 12 4.887200 1.040250 22 4.760150 0.995550 13 2.916800 0.686050 23 2.898350 0.656200 
10100 11 1.265271 0.218469 21 1.100171 0.177569 12 4.829752 1.017178 22 4.852277 1.016040 13 2.865297 0.685297 23 2.874109 0.652426 
10200 11 1.257494 0.215156 21 1.085183 0.181388 12 4.862941 1.038480 22 4.853284 1.018873 13 2.921176 0.701520 23 2.919314 0.656127 
10300 11 1.262243 0.211959 21 1.112853 0.189290 12 4.769029 1.022524 22 4.846699 1.025971 13 2.902427 0.687573 23 2.884272 0.659563 
10400 11 1.263986 0.213228 21 1.104722 0.178654 12 4.809423 1.006923 22 4.787885 1.024183 13 2.881058 0.690721 23 2.913846 0.657885 
10500 11 1.261907 0.217108 21 1.091229 0.180875 12 4.827905 1.036095 22 4.823333 1.011619 13 2.907048 0.684095 23 2.923714 0.653810 
10600 11 1.261127 0.216344 21 1.102388 0.183144 12 4.822406 1.019623 22 4.851557 1.033632 13 2.916651 0.698962 23 2.938302 0.661557 
10700 11 1.252318 0.217096 21 1.112212 0.182723 12 4.864907 1.031776 22 4.848692 1.010561 13 2.934953 0.704953 23 2.917150 0.663084 
10800 11 1.256369 0.215198 21 1.087881 0.177630 12 4.854028 1.027176 22 4.754213 1.013704 13 2.934213 0.696991 23 2.878657 0.661620 
10900 11 1.256844 0.215854 21 1.095198 0.180386 12 4.836422 1.025505 22 4.808991 1.018394 13 2.889817 0.682202 23 2.896743 0.666422 
11000 11 1.264393 0.218377 21 1.094509 0.179927 12 4.802682 1.012091 22 4.834636 1.014273 13 2.896091 0.687864 23 2.907773 0.654227 
11100 11 1.252555 0.214101 21 1.093490 0.183900 12 4.906757 1.026712 22 4.805450 1.023378 13 2.926171 0.696757 23 2.933198 0.666622 
11200 11 1.256645 0.217224 21 1.098078 0.185492 12 4.872366 1.025714 22 4.782143 1.010893 13 2.901071 0.684375 23 2.919375 0.663482 
11300 11 1.260989 0.223049 21 1.097298 0.180444 12 4.867522 1.030088 22 4.734381 1.024558 13 2.880664 0.677522 23 2.929115 0.651991 
11400 11 1.259063 0.217246 21 1.094837 0.181814 12 4.822544 1.032851 22 4.923377 1.041009 13 2.880044 0.688553 23 2.912632 0.654211 
11500 11 1.256661 0.217987 21 1.089529 0.177805 12 4.833435 1.028739 22 4.875696 1.032957 13 2.919174 0.691913 23 2.934522 0.662870 
11600 11 1.258388 0.215556 21 1.091547 0.179003 12 4.931379 1.036940 22 4.837802 1.044267 13 2.963405 0.707500 23 2.928060 0.661767 
11700 11 1.264519 0.214609 21 1.090408 0.178737 12 4.830855 1.012949 22 4.820342 1.018504 13 2.906111 0.674487 23 2.903333 0.666838 
11800 11 1.263773 0.215049 21 1.084705 0.180602 12 4.878602 1.028178 22 4.825551 1.028220 13 2.929449 0.700127 23 2.933051 0.674661 
11900 11 1.260908 0.220446 21 1.099800 0.179820 12 4.826471 1.034202 22 4.818403 1.010210 13 2.866050 0.688067 23 2.918655 0.659328 
12000 11 1.252912 0.217143 21 1.090638 0.182288 12 4.789583 1.031958 22 4.827000 1.010958 13 2.910583 0.690292 23 2.878417 0.656917 
12100 11 1.255230 0.217961 21 1.093141 0.180238 12 4.794959 1.024339 22 4.840950 1.021281 13 2.910041 0.699091 23 2.876983 0.643471 
12200 11 1.259333 0.212970 21 1.092967 0.180318 12 4.794631 1.014016 22 4.850943 1.025369 13 2.901107 0.692377 23 2.903730 0.659631 
12300 11 1.260018 0.218192 21 1.091394 0.178220 12 4.795122 1.025691 22 4.830203 1.020935 13 2.900488 0.689837 23 2.881911 0.664024 
12400 11 1.259118 0.215805 21 1.088585 0.178238 12 4.806532 1.014758 22 4.790645 1.035282 13 2.945323 0.699194 23 2.911613 0.668750 
12500 11 1.248536 0.213715 21 1.101647 0.181234 12 4.874760 1.023240 22 4.770920 1.020880 13 2.927840 0.703600 23 2.898840 0.663880 
12600 11 1.250430 0.213914 21 1.083688 0.183029 12 4.834087 1.035437 22 4.890317 1.025079 13 2.957341 0.699365 23 2.905675 0.660754 
12700 11 1.265019 0.218101 21 1.098181 0.178999 12 4.804843 1.022598 22 4.850630 1.032126 13 2.883268 0.681457 23 2.932638 0.670039 
12800 11 1.249749 0.214739 21 1.096952 0.181341 12 4.839414 1.018320 22 4.891328 1.031328 13 2.930742 0.697148 23 2.880742 0.649570 
12900 11 1.257011 0.219724 21 1.090149 0.185007 12 4.806938 1.024070 22 4.830000 1.025543 13 2.937209 0.696318 23 2.935620 0.670736 
13000 11 1.264899 0.218126 21 1.105919 0.183570 12 4.820923 1.025462 22 4.803885 1.021808 13 2.917231 0.688231 23 2.909462 0.662769 
13100 11 1.259155 0.218994 21 1.100857 0.181034 12 4.840229 1.028664 22 4.867137 1.025992 13 2.922672 0.703740 23 2.950992 0.673130 
13200 11 1.264410 0.221886 21 1.100045 0.179694 12 4.809735 1.022614 22 4.728485 1.011212 13 2.916364 0.687803 23 2.881288 0.662311 
13300 11 1.256920 0.215859 21 1.096702 0.183484 12 4.799737 1.030226 22 4.872143 1.028684 13 2.893233 0.697519 23 2.923835 0.664511 
13400 11 1.259414 0.215417 21 1.093791 0.182212 12 4.899478 1.033731 22 4.843582 1.015373 13 2.935336 0.705634 23 2.949925 0.661567 
13500 11 1.250903 0.212980 21 1.091783 0.180487 12 4.838111 1.019667 22 4.881444 1.029704 13 2.908000 0.689185 23 2.880407 0.668407 
13600 11 1.258934 0.218368 21 1.094212 0.181798 12 4.828566 1.020110 22 4.866581 1.029044 13 2.953824 0.699081 23 2.894779 0.651728 
13700 11 1.259771 0.220571 21 1.097058 0.180010 12 4.783723 1.026971 22 4.840438 1.024599 13 2.874453 0.689270 23 2.927445 0.661898 
13800 11 1.261186 0.221436 21 1.102638 0.181258 12 4.822065 1.035978 22 4.768297 1.009130 13 2.877645 0.691630 23 2.892572 0.670978 
13900 11 1.259889 0.218164 21 1.098969 0.182891 12 4.832842 1.031655 22 4.796691 1.017338 13 2.942482 0.710719 23 2.881079 0.663453 
14000 11 1.259105 0.219816 21 1.092354 0.179950 12 4.771429 1.009429 22 4.861321 1.016321 13 2.897071 0.692286 23 2.896500 0.646929 
14100 11 1.256391 0.214965 21 1.092040 0.177371 12 4.844929 1.020922 22 4.814326 1.028830 13 2.926064 0.690957 23 2.923298 0.647766 
14200 11 1.267277 0.217697 21 1.089079 0.180315 12 4.864261 1.014190 22 4.805000 1.023627 13 2.917535 0.691831 23 2.887007 0.657359 
14300 11 1.249326 0.216140 21 1.092724 0.183469 12 4.850594 1.027692 22 4.822203 1.016573 13 2.892517 0.689056 23 2.892587 0.656888 
14400 11 1.261129 0.214286 21 1.085644 0.178739 12 4.835139 1.018646 22 4.871042 1.014444 13 2.900937 0.691146 23 2.898403 0.666111 
14500 11 1.258800 0.220287 21 1.097601 0.180051 12 4.820621 1.023310 22 4.786172 1.024103 13 2.914241 0.696103 23 2.899586 0.653552 
14600 11 1.261999 0.215155 21 1.090879 0.178277 12 4.825993 1.012397 22 4.860651 1.029692 13 2.939212 0.696644 23 2.890137 0.665068 
14700 11 1.256199 0.214319 21 1.101948 0.181834 12 4.780782 1.001871 22 4.774524 1.021837 13 2.917211 0.694150 23 2.890884 0.659762 
14800 11 1.260479 0.216054 21 1.087733 0.182832 12 4.846926 1.024324 22 4.851351 1.022432 13 2.910980 0.694054 23 2.902432 0.660980 
14900 11 1.268501 0.224595 21 1.087459 0.182455 12 4.830973 1.031376 22 4.809597 1.011074 13 2.912718 0.702349 23 2.908859 0.668356 
15000 11 1.258421 0.218176 21 1.088655 0.177753 12 4.895967 1.027800 22 4.826433 1.029667 13 2.931900 0.706467 23 2.902900 0.660067 
15100 11 1.256644 0.215237 21 1.099471 0.179912 12 4.832848 1.017119 22 4.801623 1.016556 13 2.922185 0.698808 23 2.932152 0.667285 
15200 11 1.259803 0.218426 21 1.091969 0.180976 12 4.755033 1.022599 22 4.813092 1.024013 13 2.903421 0.696842 23 2.917730 0.656941 
15300 11 1.255131 0.222133 21 1.100715 0.182315 12 4.764248 1.024739 22 4.839575 1.026275 13 2.907353 0.695719 23 2.906209 0.671732 
15400 11 1.262506 0.217311 21 1.098082 0.181400 12 4.819675 1.030162 22 4.840844 1.026753 13 2.929513 0.687890 23 2.906039 0.657045 
15500 11 1.264042 0.216924 21 1.091283 0.179083 12 4.785742 1.025935 22 4.829581 1.028355 13 2.893968 0.682290 23 2.903419 0.661806 
15600 11 1.259892 0.218535 21 1.098805 0.179090 12 4.752308 1.011250 22 4.846827 1.025673 13 2.937724 0.688429 23 2.919872 0.665769 
15700 11 1.265973 0.217246 21 1.097896 0.183218 12 4.802420 1.026879 22 4.772452 1.016497 13 2.911019 0.697261 23 2.905573 0.662866 
15800 11 1.263565 0.218185 21 1.095209 0.180208 12 4.870949 1.024241 22 4.871139 1.034399 13 2.928418 0.686361 23 2.911044 0.654082 
15900 11 1.259217 0.214162 21 1.094996 0.181253 12 4.856635 1.019560 22 4.869465 1.029308 13 2.906698 0.698522 23 2.919025 0.660975 
16000 11 1.256181 0.215225 21 1.097863 0.180926 12 4.819000 1.024594 22 4.803406 1.007969 13 2.904219 0.693969 23 2.901500 0.666312 
16100 11 1.262530 0.216479 21 1.099242 0.179508 12 4.829814 1.017298 22 4.873012 1.040248 13 2.901180 0.695280 23 2.890248 0.656988 
16200 11 1.264940 0.220673 21 1.096006 0.181678 12 4.845093 1.033302 22 4.854846 1.023025 13 2.890031 0.698735 23 2.916667 0.666852 
16300 11 1.254399 0.213515 21 1.096533 0.179592 12 4.813834 1.013436 22 4.786871 1.038006 13 2.906779 0.682117 23 2.905521 0.662607 
16400 11 1.256178 0.217181 21 1.097109 0.183449 12 4.873628 1.025274 22 4.809360 1.032774 13 2.901311 0.687378 23 2.917378 0.668811 
16500 11 1.263181 0.218834 21 1.098526 0.180541 12 4.842394 1.026030 22 4.811333 1.024788 13 2.937091 0.693333 23 2.899455 0.661030 
16600 11 1.253240 0.216594 21 1.092700 0.183253 12 4.892139 1.028825 22 4.828795 1.026295 13 2.907711 0.686807 23 2.894548 0.660783 
16700 11 1.270996 0.221572 21 1.097270 0.181866 12 4.800659 1.025719 22 4.829132 1.025539 13 2.909521 0.689521 23 2.916138 0.657305 
16800 11 1.260736 0.217084 21 1.088192 0.178054 12 4.858095 1.023423 22 4.899821 1.026190 13 2.931399 0.700119 23 2.909732 0.666845 
16900 11 1.264461 0.215180 21 1.095021 0.179633 12 4.809615 1.014290 22 4.848935 1.034438 13 2.943876 0.702219 23 2.943284 0.673107 
17000 11 1.267379 0.219268 21 1.089175 0.182969 12 4.849529 1.031676 22 4.819118 1.018029 13 2.929941 0.698971 23 2.917941 0.665147 
17100 11 1.261634 0.218216 21 1.097076 0.181697 12 4.838918 1.027749 22 4.851491 1.020029 13 2.914678 0.678947 23 2.947661 0.666111 
17200 11 1.259752 0.213554 21 1.095644 0.182913 12 4.845087 1.017326 22 4.851802 1.024012 13 2.906715 0.683837 23 2.920698 0.659855 
17300 11 1.263465 0.216651 21 1.090105 0.180673 12 4.835723 1.022717 22 4.776329 1.021821 13 2.934046 0.696243 23 2.962052 0.661763 
17400 11 1.269369 0.219090 21 1.092253 0.181715 12 4.794971 1.025374 22 4.853190 1.018075 13 2.896322 0.687816 23 2.891149 0.649741 
17500 11 1.262252 0.221959 21 1.096881 0.181972 12 4.807257 1.016486 22 4.820714 1.022629 13 2.899000 0.687971 23 2.909914 0.670771 
17600 11 1.262314 0.216329 21 1.097014 0.183527 12 4.836278 1.021619 22 4.828239 1.026960 13 2.908665 0.697784 23 2.925341 0.664375 
17700 11 1.265722 0.216613 21 1.094547 0.179705 12 4.802316 1.019972 22 4.730932 1.013164 13 2.906751 0.690791 23 2.885339 0.653672 
17800 11 1.258319 0.218688 21 1.100771 0.180419 12 4.804888 1.026798 22 4.825983 1.027163 13 2.900562 0.690253 23 2.929326 0.663146 
